NR CA bandwidth class,Aggregated channel bandwidth,Number of contiguous CC,Fallback group
A,"BWChannel ≤ BWChannel,max",1,"1, 2, 34"
B,20 MHz ≤ BWChannel_CA ≤ 100 MHz,2,"2, 34"
C,"100 MHz < BWChannel_CA ≤ 2 x BWChannel,max",2,"1, 34"
D,"200 MHz < BWChannel_CA ≤ 3 x BWChannel,max",3,
E,"300 MHz < BWChannel_CA ≤ 4 x BWChannel,max",4,
G,100 MHz < BWChannel_CA ≤ 150 MHz,3,2
H,150 MHz < BWChannel_CA ≤ 200 MHz,4,
I,200 MHz < BWChannel_CA ≤ 250 MHz,5,
J,250 MHz < BWChannel_CA ≤ 300 MHz,6,
K,300 MHz < BWChannel_CA ≤ 350 MHz,7,
L,350 MHz < BWChannel_CA ≤ 400 MHz,8,
M3,50 MHz ≤ BWChannel_CA ≤ 200 MHz,3,34
N3,80 MHz ≤ BWChannel_CA ≤ 300 MHz,4,
O3,100 MHz ≤ BWChannel_CA ≤ 400 MHz,5,
"NOTE 1:BWChannel, max is maximum channel bandwidth supported among all bands in a releaseNOTE 2:It is mandatory for a UE to be able to fallback to lower order NR CA bandwidth class configuration within a fallback group. It is not mandatory for a UE to be able to fallback to lower order NR CA bandwidth class configuration that belong to a different fallback group.NOTE 3:This bandwidth class is only applicable to bands identified for use with shared spectrum channel access in Table 5.2-1.NOTE 4:Fallback group 3 is only applicable to bands identified for use with shared spectrum channel access in Table 5.2-1.",,,
