NR CA Band,NR Band(Table 5.2-1),DL interruption allowed (Note 8)
CA_n1-n3,"n1, n3",
CA_n1-n5,"n1, n5",
CA_n1-n7,"n1, n7",
CA_n1-n8,"n1, n8",
CA_n1-n18,"n1, n18",
CA_n1-n20,"n1, n20",
CA_n1-n26,"n1, n26",
CA_n1-n28,"n1, n28",
CA_n1-n38,"n1, n38",
CA_n1-n40,"n1, n40",
CA_n1-n41,"n1, n41",
CA_n1-n46,"n1, n46",
CA_n1-n67,"n1, n67",
CA_n1-n71,"n1, n71",
CA_n1-n74,"n1, n74",
CA_n1-n75,"n1, n75",
CA_n1-n77,"n1, n77",No
CA_n1-n78,"n1, n78",No
CA_n1-n79,"n1, n79",No
CA_n1-n102,"n1, n102",
CA_n1-n105,"n1, n105",
CA_n2-n5,"n2, n5",
CA_n2-n7,"n2, n7",
CA_n2-n12,"n2, n12",
CA_n2-n14,"n2, n14",
CA_n2-n29,"n2, n29",
CA_n2-n30,"n2, n30",
CA_n2-n41,"n2, n41",
CA_n2-n48,"n2, n48",
CA_n2-n66,"n2, n66",
CA_n2-n71,"n2, n71",
CA_n2-n77,"n2, n77",
CA_n2-n78,"n2, n78",
CA_n3-n5,"n3, n5",
CA_n3-n7,"n3, n7",
CA_n3-n8,"n3, n8",
CA_n3-n18,"n3, n18",
CA_n3-n20,"n3, n20",
CA_n3-n26,"n3, n26",
CA_n3-n28,"n3, n28",
CA_n3-n34,"n3, n34",
CA_n3-n38,"n3, n38",
CA_n3-n39,"n3, n39",
CA_n3-n40,"n3, n40",No
CA_n3-n41,"n3, n41",No
CA_n3-n67,"n3, n67",
CA_n3-n71,"n3, n71",
CA_n3-n74,"n3, n74",
CA_n3-n75,"n3, n75",
CA_n3-n77,"n3, n77",
CA_n3-n78,"n3, n78",No
CA_n3-n79,"n3, n79",No
CA_n3-n34,"n3, n34",No
CA_n3-n102,"n3, n102",
CA_n3-n104,"n3, n104",
CA_n3-n105,"n3, n105",
CA_n5-n7,"n5, n7",
CA_n5-n8,"n5, n8",
CA_n5-n12,"n5, n12",
CA_n5-n13,"n5, n13",
CA_n5-n14,"n5, n14",
CA_n5-n25,"n5, n25",
CA_n5-n28,"n5, n28",
CA_n5-n2921,"n5, n29",
CA_n5-n30,"n5, n30",
CA_n5-n40,"n5, n40",
CA_n5-n41,"n5, n41",
CA_n5-n48,"n5, n48",
CA_n5-n66,"n5, n66",
CA_n5-n71,"n5, n71",
CA_n5-n77,"n5, n77",
CA_n5-n78,"n5, n78",No
CA_n5-n79,"n5, n79",No
CA_n5-n105,"n5, n105",
CA_n7-n8,"n7, n8",
CA_n7-n12,"n7, n12",
CA_n7-n20,"n7, n20",
CA_n7-n25,"n7, n25",
CA_n7-n26,"n7, n26",
CA_n7-n28,"n7, n28",
CA_n7-n29,"n7, n29",
CA_n7-n40,"n7, n40",
CA_n7-n466,"n7, n46",
CA_n7-n66,"n7, n66",
CA_n7-n67,"n7, n67",
CA_n7-n71,"n7, n71",
CA_n7-n75,"n7, n75",
CA_n7-n77,"n7, n77",
CA_n7-n78,"n7, n78",
CA_n7-n79,"n7, n79",
CA_n7-n102,"n7, n102",
CA_n7-n105,"n7, n105",
CA_n8-n20,"n8, n20",
CA_n8-n28,"n8, n28",
CA_n8-n34,"n8, n34",
CA_n8-n38,"n8, n38",
CA_n8-n39,"n8, n39",
CA_n8-n40,"n8, n40",
CA_n8-n41,"n8, n41",No
CA_n8-n751,"n8, n75",
CA_n8-n77,"n8, n77",
CA_n8-n78,"n8, n78",No
CA_n8-n79,"n8, n79",No
CA_n8-n104,"n8, n104",
CA_n12-n25,"n12, n25",
CA_n12-n2921,"n12, n29",
CA_n12-n30,"n12, n30",
CA_n12-n41,"n12, n41",
CA_n12-n48,"n12, n48",
CA_n12-n66,"n12, n66",
CA_n12-n71,"n12, n71",
CA_n12-n77,"n12, n77",
CA_n12-n78,"n12, n78",
CA_n13-n25,"n13, n25",
CA_n13-n66,"n13, n66",
CA_n13-n77,"n13, n77",
CA_n14-n2921,"n14, n29",
CA_n14-n30,"n14, n30",
CA_n14-n66,"n14, n66",
CA_n14-n77,"n14, n77",
