NR V2X inter-band concurrent operating configuration,NR Band,Interface,Channel bandwidth (MHz) (NOTE 1),Bandwidth combination set
V2X_n1A-n47A,n1,Uu,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,n47,PC5,"10, 20, 30, 40",
V2X_n3A-n47A,n3,Uu,"5, 10, 15, 20, 25, 30, 35, 40, 45, 50",0
,n47,PC5,"10, 20, 30, 40",
V2X_n5A-n47A,n5,Uu,"5, 10, 15, 20, 25",0
,n47,PC5,"10, 20, 30, 40",
V2X_n8A-n47A,n8,Uu,"5, 10, 15, 20, 35",0
,n47,PC5,"10, 20, 30, 40",
V2X_n34A-n47A,n34,Uu,"5, 10, 15",0
,n47,PC5,"10, 20, 30, 40",
V2X_n39A-n47A,n39,Uu,"5, 10, 15, 20, 25, 30, 40",0
,n47,PC5,"10, 20, 30, 40",
V2X_n40A-n47A,n40,Uu,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,n47,PC5,"10, 20, 30, 40",
V2X_n41A-n47A,n41,Uu,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,n47,PC5,"10, 20, 30, 40",
V2X_n71A-n47A,n71,Uu,"5, 10, 15, 20",0
,n47,PC5,"10, 20, 30, 40",
V2X_n78A-n47A,n78,Uu,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,n47,PC5,"10, 20, 30, 40",
