NR Band combination for SUL,NR Band(Table 5.2-1)
SUL_n1-n802,"n1, n80"
SUL_n1-n812,"n1, n81"
SUL_n1-n892,"n1, n89"
SUL_n3-n842,"n3, n84"
SUL_n5-n842,"n5, n84"
SUL_n8-n842,"n8, n84"
SUL_n24-n992,"n24, n99"
SUL_n41-n802,"n41, n80"
SUL_n41-n812,"n41, n81"
SUL_n41-n832,"n41, n83"
SUL_n41-n952,"n41, n95"
SUL_n41-n972,"n41, n97"
SUL_n41-n982,"n41, n98"
SUL_n41-n992,"n41, n99"
SUL_n48-n992,"n48, n99"
SUL_n77-n802,"n77, n80"
SUL_n77-n842,"n77, n84"
SUL_n77-n992,"n77, n99"
SUL_n78-n802,"n78, n80"
SUL_n78-n812,"n78, n81"
SUL_n78-n822,"n78, n82"
SUL_n78-n832,"n78, n83"
SUL_n78-n842,"n78, n84"
SUL_n78-n862,"n78, n86"
SUL_n78-n892,"n78, n89"
SUL_n79-n802,"n79, n80"
SUL_n79-n812,"n79, n81"
SUL_n79-n832,"n79, n83"
SUL_n79-n842,"n79, n84"
SUL_n79-n952,"n79, n95"
SUL_n79-n972,"n79, n97"
SUL_n79-n982,"n79, n98"
"NOTE 1:If a UE is configured with both NR UL and NR SUL carriers in a cell, the switching time between NR UL carrier and NR SUL carrier is according to either uplinkTxSwitchingPeriod-r16 parameter within UE capability IE ULTxSwitchingBandPair-r16 if reported, or switchingPeriodFor1T-r18 parameter within UE capability IE ULTxSwitchingBandPair-r18 or ULTxSwitchingBandPair-v1840 if reported, otherwise 0 us.NOTE 2:For UE supporting SUL band combination simultaneous Rx/Tx capability is mandatory.",
