NR operating band,Uplink (UL) operating bandBS receive / UE transmitFUL_low   –  FUL_high,Downlink (DL) operating bandBS transmit / UE receiveFDL_low   –  FDL_high,Duplex Mode
n1,1920 MHz – 1980 MHz,2110 MHz – 2170 MHz,FDD
n2,1850 MHz – 1910 MHz,1930 MHz – 1990 MHz,FDD
n3,1710 MHz – 1785 MHz,1805 MHz – 1880 MHz,FDD
n5,824 MHz – 849 MHz,869 MHz – 894 MHz,FDD
n7,2500 MHz – 2570 MHz,2620 MHz – 2690 MHz,FDD
n8,880 MHz – 915 MHz,925 MHz – 960 MHz,FDD
n12,699 MHz – 716 MHz,729 MHz – 746 MHz,FDD
n13,777 MHz – 787 MHz,746 MHz – 756 MHz,FDD
n14,788 MHz – 798 MHz,758 MHz – 768 MHz,FDD
n18,815 MHz – 830 MHz,860 MHz – 875 MHz,FDD
n20,832 MHz – 862 MHz,791 MHz – 821 MHz,FDD
n2416,1626.5 MHz – 1660.5 MHz,1525 MHz – 1559 MHz,FDD
n25,1850 MHz – 1915 MHz,1930 MHz – 1995 MHz,FDD
n26,814 MHz – 849 MHz,859 MHz – 894 MHz,FDD
n28,703 MHz – 748 MHz,758 MHz – 803 MHz,FDD
n2919,N/A,717 MHz – 728 MHz,SDL
n303,2305 MHz – 2315 MHz,2350 MHz – 2360 MHz,FDD
n31,452.5 MHz – 457.5 MHz,462.5 MHz – 467.5 MHz,FDD
n34,2010 MHz – 2025 MHz,2010 MHz – 2025 MHz,TDD
n3810,2570 MHz – 2620 MHz,2570 MHz – 2620 MHz,TDD
n39,1880 MHz – 1920 MHz,1880 MHz – 1920 MHz,TDD
n40,2300 MHz – 2400 MHz,2300 MHz – 2400 MHz,TDD
n41,2496 MHz – 2690 MHz,2496 MHz – 2690 MHz,TDD
n4613,5150 MHz – 5925 MHz,5150 MHz – 5925 MHz,TDD
n4711,5855 MHz – 5925 MHz,5855 MHz – 5925 MHz,TDD
n48,3550 MHz – 3700 MHz,3550 MHz – 3700 MHz,TDD
n501,1432 MHz – 1517 MHz,1432 MHz – 1517 MHz,TDD
n51,1427 MHz – 1432 MHz,1427 MHz – 1432 MHz,TDD
n53,2483.5 MHz – 2495 MHz,2483.5 MHz – 2495 MHz,TDD
n54,1670 MHz – 1675 MHz,1670 MHz – 1675 MHz,TDD
n654,1920 MHz – 2010 MHz,2110 MHz – 2200 MHz,FDD
"n666,7",1710 MHz – 1780 MHz,2110 MHz – 2200 MHz,FDD
n6719,N/A,738 MHz – 758 MHz,SDL
n68,698 MHz – 728 MHz,753 MHz – 783 MHz,FDD
n70,1695 MHz – 1710 MHz,1995 MHz – 2020 MHz,FDD
n71,663 MHz – 698 MHz,617 MHz – 652 MHz,FDD
n72,451 MHz – 456 MHz,461 MHz – 466 MHz,FDD
n74,1427 MHz – 1470 MHz,1475 MHz – 1518 MHz,FDD
"n752,19",N/A,1432 MHz – 1517 MHz,SDL
n7619,N/A,1427 MHz – 1432 MHz,SDL
n7712,3300 MHz – 4200 MHz,3300 MHz – 4200 MHz,TDD
n78,3300 MHz – 3800 MHz,3300 MHz – 3800 MHz,TDD
n7917,4400 MHz – 5000 MHz,4400 MHz – 5000 MHz,TDD
n80,1710 MHz – 1785 MHz,N/A,SUL
n81,880 MHz – 915 MHz,N/A,SUL
n82,832 MHz – 862 MHz,N/A,SUL
n83,703 MHz – 748 MHz,N/A,SUL
n84,1920 MHz – 1980 MHz,N/A,SUL
n85,698 MHz – 716 MHz,728 MHz – 746 MHz,FDD
n86,1710 MHz – 1780 MHz,N/A,SUL
n87,410 MHz – 415 MHz,420 MHz – 425 MHz,FDD
n88,412 MHz – 417 MHz,422 MHz – 427 MHz,FDD
n89,824 MHz – 849 MHz,N/A,SUL
n905,2496 MHz – 2690 MHz,2496 MHz – 2690 MHz,TDD
n919,832 MHz – 862 MHz,1427 MHz – 1432 MHz,FDD
n929,832 MHz – 862 MHz,1432 MHz – 1517 MHz,FDD
n939,880 MHz – 915 MHz,1427 MHz – 1432 MHz,FDD
n949,880 MHz – 915 MHz,1432 MHz – 1517 MHz,FDD
n958,2010 MHz – 2025 MHz,N/A,SUL
"n9613,14",5925 MHz – 7125 MHz,5925 MHz – 7125 MHz,TDD
n9715,2300 MHz – 2400 MHz,N/A,SUL
n9815,1880 MHz – 1920 MHz,N/A,SUL
n9922,1626.5 MHz – 1660.5 MHz,N/A,SUL
n10021,874.4 MHz – 880 MHz,919.4 MHz – 925 MHz,FDD
n10121,1900 MHz – 1910 MHz,1900 MHz – 1910 MHz,TDD
"n10213,14",5925 MHz – 6425 MHz,5925 MHz – 6425 MHz,TDD
n10417,6425 MHz – 7125 MHz,6425 MHz – 7125 MHz,TDD
n105,663 MHz – 703 MHz,612 MHz – 652 MHz,FDD
n106,896 MHz – 901 MHz,935 MHz – 940 MHz,FDD
n1099,703 MHz – 733 MHz,1432 MHz – 1517 MHz,FDD
n110,1390 MHz – 1395 MHz,1432 MHz – 1435 MHz,FDD
"NOTE 1:UE that complies with the NR Band n50 minimum requirements in this specification shall also comply with the NR Band n51 minimum requirements.NOTE 2:UE that complies with the NR Band n75 minimum requirements in this specification shall also comply with the NR Band n76 minimum requirements.NOTE 3:Uplink transmission is not allowed at this band for UE with external vehicle-mounted antennas.NOTE 4:A UE that complies with the NR Band n65 minimum requirements in this specification shall also comply with the NR Band n1 minimum requirements.NOTE 5:Unless otherwise stated, the applicability of requirements for Band n90 is in accordance with that for Band n41; a UE supporting Band n90 shall meet the requirements for Band n41. A UE supporting Band n90 shall also support band n41.NOTE 6:A UE that supports NR Band n66 shall receive in the entire DL operating band.NOTE 7:A UE that supports NR Band n66 and CA operation in any CA band shall also comply with the minimum requirements specified for the DL CA configurations CA_n66B and CA_n66(2A) in the current version of the specification.NOTE 8:This band is applicable in China only.NOTE 9:Variable duplex operation does not enable dynamic variable duplex configuration by the network, and is used such that DL and UL frequency ranges are supported independently in any valid frequency range for the band. NOTE 10:When this band is used for V2X SL service, the band is exclusively used for NR V2X in particular regions.NOTE 11:This band is unlicensed band used for V2X service. There is no expected network deployment in this band.NOTE 12:In the USA this band is restricted to 3450 – 3550 MHz and 3700 – 3980 MHz. In Canada this band is restricted to 3450 – 3650 MHz and 3650 – 3980 MHz.NOTE 13:This band is restricted to operation with shared spectrum channel access as defined in TS 37.213 [14].NOTE 14:This band is applicable only in countries/regions designating this band for shared-spectrum access use subject to country-specific conditions.NOTE 15: The requirements for this band are applicable only where no other NR or E-UTRA TDD operating band(s) are used within the frequency range of this band in the same geographical area. For scenarios where other NR or E-UTRA TDD operating band(s) are used within the frequency range of this band in the same geographical area, special co-existence requirements may apply that are not covered by the 3GPP specifications.NOTE 16: DL operation in this band is restricted to 1526 – 1536 MHz and UL operation is restricted to 1627.5 – 1637.5 MHz and 1646.5 – 1656.5 MHz.NOTE 17: For this band, CORESET#0 values from Table 13-5 or Table 13-6 in [8, TS 38.213] are applied regardless of the minimum channel bandwidth.NOTE 18: VoidNOTE 19: For SDL bands, downlink configuration for RRM performance testing is same as FDD.NOTE 20: Operating band n200 is a reserved value.NOTE 21: This band is applicable only in countries subject to ECC Decision (20)02 [19], for the FRMCS application.NOTE 22: UL operation in this band is restricted to 1627.5 – 1637.5 MHz and 1646.5 – 1656.5 MHz.",,,
