Parameter,,,Unit,Test 1,,Test 2,,Test 3,,
,,,,Cell 2,Cell 3,Cell 2,Cell 3,Cell 2,Cell 3,
SSB ARFCN,,,,freq1,freq2,freq1,freq2,freq1,freq2,
Duplex mode,,"Config 1,4",,FDD,,,,,,
,,"Config 2,3,5,6",,TDD,,,,,,
TDD configuration,,"Config 1,4",,Not Applicable,,,,,,
,,"Config 2,5",,TDDConf.1.1,,,,,,
,,"Config 3,6",,TDDConf.2.1,,,,,,
Downlink initial BWP configuration,,,,DLBWP.0.1,,,,,,
Downlink dedicated BWP configuration,,,,DLBWP.1.1,,,,,,
Uplink initial BWP configuration,,,,ULBWP.0.1,,,,,,
Uplink dedicated BWP configuration,,,,ULBWP.1.1,,,,,,
DRX Cycle configuration,,,ms,Not Applicable,,,,,,
Gap pattern ID,,,,0,-,0,-,0,-,
TRS configuration,,"Config 1,4",,TRS.1.1 FDD,-,TRS.1.1 FDD,-,TRS.1.1 FDD,-,
,,"Config 2,5",,TRS.1.1 TDD,,TRS.1.1 TDD,,TRS.1.1 TDD,,
,,"Config 3,6",,TRS.1.2 TDD,,TRS.1.2 TDD,,TRS.1.2 TDD,,
PDSCH Reference measurement channel,,"Config 1,4",,SR.1.1 FDD,-,SR.1.1 FDD,-,SR.1.1 FDD,-,
,,"Config 2,5",,SR.1.1 TDD,,SR.1.1 TDD,,SR.1.1 TDD,,
,,"Config 3,6",,SR.2.1 TDD,,SR.2.1 TDD,,SR.2.1 TDD,,
RMSI CORESET Reference Channel,,"Config 1,4",,CR.1.1 FDD,-,CR.1.1 FDD,-,CR.1.1 FDD,-,
,,"Config 2,5",,CR.1.1 TDD,,CR.1.1 TDD,,CR.1.1 TDD,,
,,"Config 3,6",,CR.2.1 TDD,,CR.2.1 TDD,,CR.2.1 TDD,,
Dedicated CORESET Reference Channel,,"Config 1,4",,CCR.1.1 FDD,-,CCR.1.1 FDD,-,CCR.1.1 FDD,-,
,,"Config 2,5",,CCR.1.1 TDD,,CCR.1.1 TDD,,CCR.1.1 TDD,,
,,"Config 3,6",,CCR.2.1 TDD,,CCR.2.1 TDD,,CCR.2.1 TDD,,
OCNG Patterns,,,,OP.1,,,,,,
SS-RSSI-Measurement,,,,Not Applicable,,,,,,
Time offset with Cell 2,,"Config 1,4",ms,-,3,-,3,-,,3
,,"Config 2,3,5,6",s,-,3,-,3,-,,3
SMTC configuration,,"Config 1,4",,SMTC.2,,,,,,
,,"Config 2,3,5,6",,SMTC.1,,,,,,
SSB configuration,,"Config 1,2,4,5",,SSB.1 FR1,,,,,,
,,"Config 3,6",,SSB.2 FR1,,,,,,
PDSCH/PDCCH subcarrier spacing,,"Config 1,2,4,5",kHz,15,,,,,,
,,"Config 3,6",,30,,,,,,
EPRE ratio of PSS to SSS,,,dB,0,0,0,0,0,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,,,
Note2,"Config 1,2,4,5",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/15 kHz,-88,,-108.5,,-119.5,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,-119,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,-118.5,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,-118,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,-117.5,,
,,NR_FDD_FR1_F,,,,,,-117,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,-116.5,,
,,NR_FDD_FR1_H,,,,,,-116,,
,,NR_FDD_FR1_N,,,,,,-113,,
Note2,"Config 1,2,4,5",,dBm/SCS,-88,,-108.5,,Same as Noc for 15 kHz,,
,"Config 3,6",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,,-85,,-105.5,,-116.5,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,-116,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,-115.5,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,-115,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,-114.5,,
,,NR_FDD_FR1_F,,,,,,-114,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,-114.5,,
,,NR_FDD_FR1_H,,,,,,-113,,
,,NR_FDD_FR1_N,,,,,,-110,,
,,,dB,-1.75,,20,,-4.0,,
,,,dB,-1.75,,20,,-4.0,,
SS-RSRPNote3,"Config 1,2,4,5",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/SCS,-89.75,,-88.5,,-123.5,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,-123,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,-122.5,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,-122,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,-121.5,,
,,NR_FDD_FR1_F,,,,,,-121,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,-120.5,,
,,NR_FDD_FR1_H,,,,,,-120,,
,,NR_FDD_FR1_N,,,,,,-117,,
,"Config 3,6",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,,-86.75,,-85.5,,-120.5,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,-120,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,-119.5,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,-119,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,-118.5,,
,,NR_FDD_FR1_F,,,,,,-118,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,-117.5,,
,,NR_FDD_FR1_H,,,,,,-117,,
,,NR_FDD_FR1_N,,,,,,-114,,
SS-SINR Note3,,NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dB,-1.75,,20,,-4.0,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,,,
,,NR_FDD_FR1_F,,,,,,,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,
,,NR_FDD_FR1_H,,,,,,,,
,,NR_FDD_FR1_N,,,,,,,,
IoNote3,"Config 1,2,4,5",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/9.36 MHz,-57.83,,-60.5,,-90.09,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,-89.59,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,-89.09,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,-88.59,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,-88.09,,
,,NR_FDD_FR1_F,,,,,,-87.59,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,-87.09,,
,,NR_FDD_FR1_H,,,,,,-86.59,,
,,NR_FDD_FR1_N,,,,,,-83.59,,
,"Config 3,6",NR_FDD_FR1_ANR_TDD_FR1_A NOTE 6,dBm/38.16 MHz,-51.73,,-54.41,,-84,,
,,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,-83.5,,
,,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,-83,,
,,NR_FDD_FR1_DNR_TDD_FR1_D,,,,,,-82.5,,
,,NR_FDD_FR1_ENR_TDD_FR1_E,,,,,,-82,,
,,NR_FDD_FR1_F,,,,,,-81.5,,
,,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,-81,,
,,NR_FDD_FR1_H,,,,,,-80.5,,
,,NR_FDD_FR1_N,,,,,,-77.5,,
Propagation condition,,,-,AWGN,,,,,,
Antenna configuration,,,-,1x2,,,,,,
