Parameter,Unit,Test,Cell 2,,Cell 3,
,,configuration,T1,T2,T1,T2
AoA setup,,"Config 1,2,3,4,5,6",NA,,Setup 1 as specified in clause A.3.15,
Assumption for UE beamsNote 7,,"Config 1,2,3,4,5,6",N/A,,Rough,
NR RF Channel Number,,"Config 1,2,3,4,5,6",1,,2,
Duplex mode,,"Config 1,4",FDD,,TDD,
,,"Config 2,3,5,6",TDD,,TDD,
BWchannel,MHz,"Config 1,4","10: NPRB,c = 52",,"100: NPRB,c = 66",
,,"Config 2,5","10: NPRB,c = 52",,"100: NPRB,c = 66",
,,"Config 3,6","40: NPRB,c = 106",,"100: NPRB,c = 66",
BWP BW,MHz,"Config 1,4","10: NPRB,c = 52",,"100: NPRB,c = 66",
,,"Config 2,5","10: NPRB,c = 52",,"100: NPRB,c = 66",
,,"Config 3,6","40: NPRB,c = 106",,"100: NPRB,c = 66",
Data PRBs allocated,,"Config 1,4",52,,66,
,,"Config 2,5",52,,66,
,,"Config 3,6",106,,66,
TDD configuration,,"Config 2,5",TDDConf.1.1,,TDDConf.3.1,
,,"Config 3,6",TDDConf.2.1,,TDDConf.3.1,
Initial DL BWP,,"Config 1,2,3,4,5,6",DLBWP.0.1,,NA,
Initial UL BWP,,"Config 1,2,3,4,5,6",ULBWP.0.1,,NA,
Dedicated DL BWP,,"Config 1,2,3,4,5,6",DLBWP.1.1,,NA,
Dedicated UL BWP,,"Config 1,2,3,4,5,6",ULBWP.1.1,,NA,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,"Config 1,2,3,4,5,6",OP.1,,OP.1,
PDSCH Reference,,"Config 1,4",SR.1.1 FDD,,-,
measurement channel,,"Config 2,5",SR.1.1 TDD,,,
,,"Config 3,6",SR2.1 TDD,,,
RMSI CORESET Reference,,"Config 1,4",CR.1.1 FDD,,-,
Channel,,"Config 2,5",CR.1.1 TDD,,,
,,"Config 3,6",CR.2.1 TDD,,,
Dedicated CORESET Reference Channel,,"Config 1,4",CCR.1.1 FDD,,-,
,,"Config 2,5",CCR.1.1 TDD,,,
,,"Config 3,6",CCR.2.1 TDD,,,
SMTC configuration defined,,"Config 1,4",SMTC.2,,SMTC.2,
in A.3.11,,"Config 2,3,5,6",SMTC.1,,SMTC.1,
PDSCH/PDCCH subcarrier spacing,kHz,"Config 1,2,4,5",15,,120,
,,"Config 3,6",30,,120,
EPRE ratio of PSS to SSS,,Config,0,,0,
EPRE ratio of PBCH DMRS to SSS,,"1,2,3,4,5,6",,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,
Note2,dBm/15 kHz Note5,,,,-104.7,
Note2,dBm/SCS,"Config 1,2,4,5",,,-95.7,
,Note4,"Config 3,6",,,-95.7,
SSB_RP Note 3,dBm/SCS,"Config 1,2,4,5",,,-Infinity,-86.7
,Note5,"Config 3,6",NA,,-Infinity,-86.7
,dB,"Config 1,2,3,4,5,6","Link only, see clause A.3.7A",,-Infinity,9
,dB,"Config 1,2,3,4,5,6",,,-Infinity,9
IoNote3,dBm/9.36 MHz,"Config 1,2,4,5",,,-,-
,dBm/38.16 MHz,"Config 3,6",,,-,-
,dBm/95.04 MHz Note5,"Config 1,2,3,4,5,6",,,-66.7,-57.2
Propagation Condition,,"Config 1,2,3,4,5,6",,,AWGN,
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SSB_RP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 6:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 7:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation",,,,,,
