Parameter,Unit,Value,,Comment
,,Subtest 1,Subtest 2,
E-UTRA RF Channel Number,,1,,One E-UTRA radio channel is used for this test
NR RF Channel Number,,"2, 3",,Two NR radio channel is used for this test
Active PCell,,Cell 1,,PCell on RF channel number 1.
Active PSCell,,Cell 2,,PSCell on RF channel number 2.
Active SCell,,Cell 3,,SCell on RF channel number 3.
CP length,,Normal,,
DRX,,OFF,,
Measurement gap pattern Id,,OFF,,
bwp-InactivityTimer,ms,500,,
Cell-individual offset for cells on RF channel number 1,dB,0,,Individual offset for cells on PCC.
Cell-individual offset for cells on RF channel number 2,dB,0,,Individual offset for cells on PSCC.
Cell-individual offset for cells on RF channel number 3,dB,0,,Individual offset for cells on SCC.
Cell2 timing offset to Cell 1,s,3,,Synchronous EN-DC
Cell3 timing offset to Cell 2,s,0,,Synchronous cells
Triggering DCI format,,DCI 1_1,,Triggering DCI format for triggering during active time
OFDM symbol range in slot for transmission of DCI with dormancy indication,,0 – 2,3 – 11,Test1 is based on that triggering DCI is received within the first three OFDM symbols of a slot. Test2 is based on that the triggering DCI is received later than within the first three OFDM symbols of a slot.
T1,s,0.2,,
T2,s,5,,
T3,s,0.2,,
