Parameter,Config,Unit,Test 1
SSB ARFCN,1~2,,freq1
Duplex mode,1~2,,TDD
TDD Configuration,1~2,,TDDConf.3.1
BWchannel,1~2,MHz,"100: NPRB,c = 66"
PDSCH Reference measurement channel,1~2,,SR.3.1 TDD
RMSI CORESET Reference Channel,1~2,,CR.3.1 TDD
Dedicated CORESET Reference Channel,1~2,,CCR.3.1 TDD
SSB configuration,1~2,,SSB.1 FR2
OCNG Patterns,1~2,,OP.1
Initial BWP Configuration,1~2,,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1~2,,DLBWP.1.1ULBWP.1.1
TRS Configuration,1~2,,TRS.2.1 TDD
PDCCH/PDSCH TCI Configuration,1~2,,TCI.State.2
SMTC configuration,1~2,,SMTC.1
CSI-RS,1~2,,CSI-RS.3.2 TDD
reportConfigType,1~2,,periodic
reportQuantity-r16,1~2,,cri-SINR-r16
nrofReportedRS,1~2,,2
L1-SINR reporting period,1~2,,slot640
Propagation condition,1~2,,AWGN
Antenna configuration,1~2,,1x2
EPRE ratio of PSS to SSS,1~2,dB,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.,,,
