Parameter,,Unit,Value,Comment
RF Channel Number,,,"1, 2",Two radio channels are used for this test. One for E-UTRA cell and second for NR Cell
Initial,Active PCell,,Cell 1,PCell on RF channel number 1.
Condition,Neighbour cell,,Cell2,Neighbour cell on RF channel number 2.
Final,Active PCell,,Cell 1,PCell on RF channel number 1.
Condition,Neighbour Cell,,Cell2,PSCell released on RF channel number 2.
B1,Hysteresis,dB,0,Hysteresis for evaluation of event B1.
,Threshold RSRP,dBm,-118,Actual RSRP threshold for event B1. Needs to take absolute accuracy tolerance in clause 9.1.11.1 into account plus margin.
,Time to Trigger,s,0,
DRX,,,OFF,Continuous monitoring of primary cell
Gap pattern ID,,,gp0,
PRACH configuration on Cell 2,,,FR2 configuration 2,Captured in A.3.8.3.2
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on carrier frequency of Cell 2.
T1,,s,1,During this time the PCell shall be known and Cell 2 shall be unknown.
T2,,s,<7,During this time the UE adds the PSCell.
T3,,s,1,During this time the UE sends CSI reports for PSCell.
T4,,s,1,During this time the UE releases the PSCell.
