Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,1,One E-UTRAN carrier frequenciy is used.
NR RF Channel Number,,"2,3,4,5","Four NR radio channels are used for this test. RF channel number 2 is in FR 1 and RF channel numbers 3,4,5 are in a band where intra-band FR2 CA is allowed."
Active PCell,,Cell 1,Primary cell on NR RF channel number 1.
Active PSCell,,Cell 2,Primary SCG cell on NR RF channel number 2.
Configured activated SCell,,"Cell 3,4,5","Configured activated secondary cell on NR RF channel numbers 3,4,5."
CP length,,Normal,
DRX,,DRX.3,As specified in clause A.3.3
ps-Offset,,Depending on UE capability,"Monitoring of DCI 2_6 ahead of start of drx-onDurationTimer. Value of ps-Offset shall correspond to SCell dormancy switching time for switching of two SCells, as specified in clause 8.6.2A. Actual value depends on reported UE capabilities."
ps-WakeUp,,true,Wake up for onDuration in case DCI format 2_6 is not detected.
SCell measurement cycle (measCycleSCell),ms,160,
Cell2 timing offset to Cell 1,s,3,
"Cell3,4,5 timing offset to Cell 1",s,3,
"Timing offset among Cell 3,4,5",s,0,
T1,s,0.2,"During this time Cell 3,4 switch to dormancy from non-dormancy."
T2,s,10,"During this time Cell 3,4 are dormant."
T3,S,0.1,During this time PDCCH is not transmitted from all cells.
T4,s,0.2,"During this time Cell 3,4 switch to non-dormancy from dormancy."
