Parameter,,,Unit,Test 1,,Test 2,,
,,,,Cell 2,Cell 3,Cell 2,,Cell 3
SSB ARFCN,,,,freq1,,freq1,,
Duplex mode,,"Config 1,4",,FDD,,,,
,,"Config 2,3,5,6",,TDD,,,,
TDD configuration,,"Config 1,4",,Not Applicable,,,,
,,"Config 2,5",,TDDConf.1.1,,,,
,,"Config 3,6",,TDDConf.2.1,,,,
Downlink initial BWP configuration,,,,DLBWP.0.1,,,,
Downlink dedicated BWP configuration,,,,DLBWP.1.1,,,,
Uplink initial BWP configuration,,,,ULBWP.0.1,,,,
Uplink dedicated BWP configuration,,,,ULBWP.1.1,,,,
DRX Cycle configuration,,,ms,Not Applicable,,,,
TRS configuration,,"Config 1, 4",,TRS.1.1 FDD,,,,
,,"Config 2, 5",,TRS.1.1 TDD,,,,
,,"Config 3, 6",,TRS.1.2 TDD,,,,
PDSCH Reference measurement channel,,"Config 1,4",,SR.1.1 FDD,-,SR.1.1 FDD,,-
,,"Config 2,5",,SR.1.1 TDD,,SR.1.1 TDD,,
,,"Config 3,6",,SR.2.1 TDD,,SR.2.1 TDD,,
RMSI CORESET Reference Channel,,"Config 1,4",,CR.1.1 FDD,-,CR.1.1 FDD,,
,,"Config 2,5",,CR.1.1 TDD,,CR.1.1 TDD,,
,,"Config 3,6",,CR.2.1 TDD,,CR.2.1 TDD,,
Dedicated CORESET Reference Channel,,"Config 1,4",,CCR.1.1 FDD,-,CCR.1.1 FDD,,-
,,"Config 2,5",,CCR.1.1 TDD,,CCR.1.1 TDD,,
,,"Config 3,6",,CCR.2.1 TDD,,CCR.2.1 TDD,,
OCNG Patterns,,,,OP.1,,,,
SS-RSSI-Measurement,,,,Not Applicable,,,,
Time offset with Cell 2,,"Config 1,2,4,5",s,2.35,2.35,2.35,2.35,
,,Config 3.6,s,1.17,1.17,1.17,1.17,
SMTC configruation,,"Config 1,4",,SMTC.2,,,,
,,"Config 2,3,5,6",,SMTC.1,,,,
SSB configuration,,"Config 1,2,4,5",,SSB.1 FR1,,,,
,,"Config 3,6",,SSB.2 FR1,,,,
CSI-RS configuration for RRM,,"Config 1,4",,CSI-RS.RRM.FR1.1 FDD,,,,
,,"Config 2,5",,CSI-RS.RRM.FR1.1 TDD,,,,
,,"Config 3,6",,CSI-RS.RRM.FR1.2 TDD,,,,
PDSCH/PDCCH subcarrier spacing,,"Config 1,2,4,5",kHz,15,,,,
,,"Config 3,6",,30,,,,
EPRE ratio of PSS to SSS,,,dB,0,0,0,,0
EPRE ratio of PBCH DMRS to SSS,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,,,
Note2,,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6",dBm/15 kHz,-93,,-116,,
