Parameter,,Unit,Value,Comment
RF Channel Number,,,"1, 2,3,4","Two E-UTRAN radio channel (1,2) and two NR radio channel (3,4) are used for this test"
Initial Condition,Active PCell,,Cell 1,PCell on E-UTRAN RF channel number 1.As specified in clause A.3.7.2.1
,Neighbour Cell,,Cell 2,Neighbour cell on E-UTRAN RF channel number 2.As specified in clause A.3.7.2.1
,Active PSCell,,Cell 3,PSCell on NR RF channel number 3.
,Neighbour Cell,,Cell 4,Neighbour cell on NR RF channel number 4.
Final Condition,Active PCell,,Cell 2,
,Neighbour Cell,,Cell 1,
,Active PSCell,,Cell 4,
,Neighbour Cell,,Cell 3,
Access Barring Information,,,Not Sent,No additional delays in random access procedure.
DRX,,,OFF,Continuous monitoring of primary cell
PRACH configuration on Cell 4,,,FR2 configuration 2,Captured in A.3.8.3.2
Cell-individual offset for cells on E-UTRAN RF channel,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on NR RF channel,,dB,0,Individual offset for cells on second component carrier
T1,,s,1,During this time the PCell and PSCell shall be known and SCells configured and detected.
T2,,s,0.5,During this time the UE change the PSCell.
T3,,s,1,During this time the UE sends CSI reports for PSCell.
