Parameter,Unit,Test configuration,Value,,,,Comment
,,,Test 1,Test 2,Test 3,Test 4,
E-UTRA RF Channel Number,,"Config 1,2,3,4,5,6",1,,,,One E-UTRAN TDD carrier frequenciy is used.
NR RF Channel Number,,"Config 1,2,3,4,5,6","1, 2",,,,One FR1 and one FR2 NR carrier frequency is used.
Active cell,,"Config 1,2,3,4,5,6",LTE Cell 1 (PCell) and NR Cell 2 (PScell),,,,LTE Cell 1 is on E-UTRA RF channel number 1.NR Cell 2 is on NR RF channel number 1.
Neighbour cell,,"Config 1,2,3,4,5,6",NR Cell 3,,,,NR Cell 3 is on NR RF channel number 2.
Gap Pattern Id,,"Config 1,2,3,4,5,6",0,,13,,As specified in clause 9.1.2-1.
Measurement gap offset,,"Config 1,2,3,4,5,6",39,,39,,
SMTC-SSB parameters on NR RF Channel 1,,"Config 1,4",SSB.1 FR1,,,,As specified in clause A.3.10.1
,,"Config 2,5",SSB.1 FR1,,,,As specified in clause A.3.10.1
,,"Config 3,6",SSB.2 FR1,,,,As specified in clause A.3.10.1
SMTC-SSB parameters on NR RF Channel 2,,"Config 1,2,3,4,5,6",SSB.3 FR2,,,,As specified in clause A.3.10.2
CSI-RS for tracking,,"Config 1,4",TRS.1.1 FDD,,,,
,,"Config 2,5",TRS.1.1 TDD,,,,
,,"Config 3,6",TRS.1.2 TDD,,,,
offsetMO,dB,"Config 1,2,3,4,5,6",6,,,,
Hysteresis,dB,"Config 1,2,3,4,5,6",0,,,,
a4-Threshold,dBm,"Config 1,2,3,4,5,6",-105,,,,
CP length,,"Config 1,2,3,4,5,6",Normal,,,,
TimeToTrigger,s,"Config 1,2,3,4,5,6",0,,,,
Filter coefficient,,"Config 1,2,3,4,5,6",0,,,,L3 filtering is not used
DRX,,"Config 1,2,3,4,5,6",DRX.1,DRX.7,DRX.1,DRX.7,As specified in clause A.3.3
Time offset between PCell and PSCell,,"Config 1,2,3,4,5,6",3 s,,,,Synchronous EN-DC
Time offset between serving and neighbour cells,,"Config 1,4",3 ms,,,,Asynchronous cells.The timing of Cell 3 is 3 ms later than the timing of Cell 2.
,,"Config 2,3,5,6",3s,,,,Synchronous cells.
T1,s,"Config 1,2,3,4,5,6",5,,,,
T2,s,"Config 1,2,3,4,5,6",11 for PC1; 6.5 for other PC,108 for PC1; 67 for other PC,11 for PC1; 6.5 for other PC,108 for PC1; 67 for other PC,
