Parameter,Unit,Config,Cell 2,,Cell 3,,
,,,T1,"T2, T3",T1,"T2, T3",
AoA setup,,"Config 1,2",Setup 1 defined in A.3.15.1,,,,
Assumption for UE beamsNote 4,,"Config 1,2",Rough,,Rough,,
,dB,"Config 1,2",4,4,-Infinity,-3,
Note 2,dBm/15 KHz,"Config 1,2",-102,,,,
Note 2,dBm/SCS,"Config 1, 2",-93,,,,
,,,,,,,
SS-RSRP,dBm/SCS,"Config 1, 2",-89,-89,-Infinity,-96,
,,,,,,,
,dB,"Config 1,2",4,4,-Infinity,-3,
,dBm/95.04 MHz,"Config 1,2",-58.56,,-62.25,,
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation.NOTE 5:As observed with 0 dBi gain antenna at the centre of the quiet zone",,,,,,,
