Parameter,Unit,Test,Cell 2,,Cell 3,
,,configuration,T1,"T2, T3",T1,"T2, T3"
NR RF Channel Number,,"Config 1,2",1,,2,
Duplex mode,,"Config 1,2",TDD,,TDD,
BWchannel,MHz,"Config 1,2","100: NPRB,c = 66",,"100: NPRB,c = 66",
BWP BW,MHz,"Config 1,2","100: NPRB,c = 66",,"100: NPRB,c = 66",
TDD configuration,,"Config 1,2",TDDConf.3.1,,TDDConf.3.1,
Initial DL BWP,,"Config 1,2",DLBWP.0.1,,NA,
Initial UL BWP,,"Config 1,2",DLBWP.0.1,,,
Dedicated DL BWP,,"Config 1,2",DLBWP.1.1,,NA,
Dedicated UL BWP,,"Config 1,2",ULBWP.1.1,,NA,
OCNG Patterns defined in A.3.2.1.1 (OP.1),,"Config 1,2",OP.1,,OP.1,
PDSCH Reference measurement channel,,"Config 1,2",SR.3.1 TDD,,-,
CORESET Reference Channel,,"Config 1,2",CR.3.1 TDD,,-,
RMSI scheduling periodicity,ms,"Config 1,2",NA,,20,
TRS configuration,,"Config 1,2",TRS.2.1 TDD,,NA,
TCI configuration,,"Config 1,2",CSI-RS.Config.0,,NA,
SMTC configuration defined in A.3.11,,"Config 1,2",SMTC.1,,SMTC.1,
PDSCH/PDCCH subcarrier spacing,kHz,"Config 1,2",120,,120,
EPRE ratio of PSS to SSS,,"Config 1,2",0,,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,
EPRE ratio of OCNG DMRS to SSS (Note 1),,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,
Propagation Condition,,"Config 1,2",AWGN,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,,,,
