Parameter,Config,Unit,Test 1,Test 2
SSB ARFCN,1~2,,freq1,freq1
Duplex mode,1~2,,TDD,TDD
TDD configuration,1~2,,TDDConf.3.1,TDDConf.3.1
BWchannel,1~2,MHz,"100: NPRB,c = 66","100: NPRB,c = 66"
PDSCH Reference measurement channel,1~2,,SR.3.1 TDD,SR.3.1 TDD
RMSI CORESET Reference Channel,1~2,,CR.3.1 TDD,CR.3.1 TDD
Dedicated CORESET Reference Channel,1~2,,CCR.3.1 TDD,CCR.3.1 TDD
SSB configuration,1~2,,SSB.3 FR2,SSB.3 FR2
OCNG Patterns Note2,1~2,,OP.1,OP.1
TRS configuration,1~2,,TRS.2.1 TDD,TRS.2.1 TDD
Initial BWP Configuration,1~2,,DLBWP.0.1ULBWP.0.1,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1~2,,DLBWP.1.3ULBWP.1.3,DLBWP.1.3ULBWP.1.3
SMTC configuration,1~2,,SMTC.1,SMTC.1
Time offset between DL from serving cell and OCNG from test system,1~2,s,10.67,10.67
EPRE ratio of PSS to SSS,1~2,dB,0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,
Propagation condition,1~2,,AWGN,AWGN
Antenna configuration,1~2,,1x2,1x2
NOTE 1:OCNG shall be used such that a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:OCNG is not transmitted in the CLI-RSSI measurement resources.,,,,
