Parameter,Unit,Test 1,Test 2
Angle of arrival configuration,,Setup 1 defined A.3.15.1,Setup 1 defined A.3.15.1
Beam assumption Note 5,,Fine,Fine
Note1,dBm/15 kHzNote3,-100,N/A
Note1,dBm/SCSNote3,-91,N/A
,dB,2,N/A
Es,dBm/SCSNote3,,(Table B.2.7-2 Rx Beam Peak)
SRS_RPNote2,dBm/SCS,-89,(Table B.2.7-2 Rx Beam Peak)
BB Note4,dB,>1,1
IoNote2,dBm/95.04 MHz Note3,-57.89,(Table B.2.7-2 Rx Beam Peak +50.79 dB)
"NOTE 1:Where used, interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SRS_RP, Es/Iot and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 4:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 36.101-2 [19], and an allowance of 2 dB for UE multi-band relaxation factor ∑MBP from TS 38.101-2 [19] Table 6.2.1.3-4.NOTE 5:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation.",,,
