Parameter,Unit,Config,Test,,,
,,,T1,T2,T3,T4
E-UTRA Channel Number,,"1,2",1,,,
NR Channel Number,,"1,2",2,,,
Duplex Mode,,"1,2",TDD,,,
TDD configuration,,"1,2",TDDConf.3.1,,,
BWchannel,MHz,"1,2","100: NPRB,c = 66",,,
Data PRBs allocated,,"1,2",48,,,
Initial BWP Configuration,,"1,2",DLBWP.0.1ULBWP.0.1,,,
Dedicated BWP Configuration,,"1,2",DLBWP.1.1ULBWP.1.1,,,
TRS Configuration,,1,TRS.2.1 TDD,,,
PDSCH/PDCCH TCI state,,1,TCI.State.2,,,
PDSCH Reference measurement channel,,"1,2",SR.3.3 TDD,,,
RMSI CORESET Reference Channel,,"1,2",CR.3.2 TDD,,,
Dedicated CORESET Reference Channel,,"1,2",CCR.3.7 TDD,,,
OCNG Patterns,,"1,2",OP.3,,,
SSB configuration,,"1,2",SSB.2 FR2,,,
SMTC configuration,,"1,2",SMTC.2,,,
PDSCH/PDCCH subcarrier spacing,kHz,"1,2",120,,,
TRS Configuration,,"1,2",TRS.2.1 TDD,,,
CSI-RS configuration for CSI reporting,,"1,2",CSI-RS.3.1 TDD,,,
reportConfigType,,"1,2",periodic,,,
reportQuantity,,"1,2",cri-RI-PMI-CQI,,,
CSI reporting periodicity,slot,"1,2",40,,,
CSI reporting offset,slot,"1,2",4,,,
EPRE ratio of PSS to SSS,dB,"1,2",0,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,
EPRE ratio of PDSCH to PDSCH,,,,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,,,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,,,,
Propagation condition,,"1,2",No external noise (Note 1),,,
"NOTE 1: The downlink connection between the System Simulator and the UE is without Additive White Gaussian Noise, and has no fading or multipath effects as specified in TS 38.521-2 B.0 [38].",,,,,,
