Parameter,Unit,Test configuration,Cell 2,
,,,,
AoA setup,,"1, 2",Setup 3 defined in A.3.15.3,
,,,AoA1,AoA2
Assumption for UE beamsNote 1,,,Rough,Rough
TDD configuration,,"1, 2",TDDConf.3.1,
BWchannel,MHz,"1, 2","100: NPRB,c = 66",
Data PRBs allocated,,"1, 2",24,
PDSCH Reference measurement channel,,"1, 2",SR.3.2 TDD,Not sent
RMSI CORESET RMC configuration,,"1, 2",CR.3.1 TDD,Not sent
Dedicated CORESET RMC configuration,,"1, 2",CCR.3.2 TDD,Not sent
TRS configuration,,"1, 2",TRS.2.1 TDD,TRS.2.2 TDD
PDCCH/PDSCH TCI state,,"1, 2",TCI.State.2,Not sent
OCNG Pattern,,"1, 2",OP.5 defined in A.3.2.1,Not sent
Initial DL BWP configuration,,"1, 2",DLBWP.0.1,
Initial UL BWP configuration,,"1, 2",ULBWP.0.1,
RLM-RS,,"1, 2",SSB with index 0,SSB with index 1
,dBm/15 kHz,"1, 2",-92.1,-92.1
Note2,dBm/SCS,"1, 2",-84.9,Not sent
,dB,"1, 2",3,N/A
BB Note 4,dB,"1, 2",1,1
SSB_RP Note3,dBm/SCS,"1, 2",-81.1,-81.1
Io,dBm/95.04 MHz,"1, 2",-54.35,-54.35
Time multiplexing of the downlink transmissions from each AoA,,"1, 2",Defined in figure A.5.5.1.9.1-1,
Propagation Condition,,"1, 2",AWGN,AWGN
"NOTE 1:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementationNOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Es/Iot, SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBS from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,
