Parameter,Unit,Test,Value,,Comment
,,configuration,Test 1,Test 2,
E-UTRA RF Channel Number,,"Config 1,2",1,,One E-UTRAN TDD carrier frequencies is used.
NR RF Channel Number,,"Config 1,2","1, 2",,Two FR2 NR carrier frequencies is used.
Active cell,,"Config 1,2",LTE Cell 1 (PCell) and NR Cell 2 (PScell),,LTE Cell 1 is on E-UTRA RF channel number 1.NR Cell 2 is on NR RF channel number 1.
Neighbour cell,,"Config 1,2",NR Cell 3,,NR Cell 3 is on NR RF channel number 2.
Gap Pattern Id,,"Config 1,2",0,13,As specified in clause 9.1.2-1.
Measurement gap offset,,"Config 1,2",39,39,
SMTC-SSB parameters,,"Config 1,2",SSB.3 FR2,,As specified in clause A.3.10.2
A3-Offset,dB,"Config 1,2",-6,,
Hysteresis,dB,"Config 1,2",0,,
CP length,,"Config 1,2",Normal,,
TimeToTrigger,s,"Config 1,2",0,,
Filter coefficient,,"Config 1,2",0,,L3 filtering is not used
DRX,,"Config 1,2",DRX.1,,As specified in clause A.3.3.3
Time offset between PCell and PSCell,s,"Config 1,2",3,,Synchronous EN-DC
Time offset between serving and neighbour cells,s,"Config 1,2",0.58,,The timing of Cell 3 is CP later than the timing of Cell 2.
T1,s,"Config 1,2",5,,
T2,s,"Config 1,2",21 for PC1; 13 for other PC,21 for PC1; 13 for other PC,
