Parameter,,TestConfig.,Unit,Value,Comment
,,,,Test 1,
Active E-UTRA PCell,,1-4,,Cell 1,
E-UTRA RF Channel Number,,1-4,,1,
Active PCell,,1-4,,Cell 2,
RF Channel Number,,1-4,,2,
Duplex mode,,1-4,,TDD,
TDD Configuration,,1-4,,TDDConf.3.1,
BWchannel,,1-4,MHz,"100: NPRB,c = 66",
Data PRBs allocated,,1-4,,66,
PDSCH/PDCCH subcarrier spacing,,1-4,kHz,120,
DL initial BWP configuration,,1-4,,DLBWP.0.1,
DL dedicated BWP configuration,,1-4,,DLBWP.1.1,
UL initial BWP configuration,,1-4,,ULBWP.0.1,
UL dedicated BWP configuration,,1-4,,ULBWP.1.1,
PDSCH Reference Channel,,1-2,,SR.3.2 TDD,
,,3-4,,SR.3.3 TDD,
RMSI CORESET Reference Channel,,1-2,,CR.3.1 TDD,
,,3-4,,CR.3.2 TDD,
Dedicated CORESET Reference Channel,,1-2,,CCR.3.1 TDD,
,,3-4,,CCR.3.7 TDD,
OCNG parameters,,1-4,,OP.1,
CP length,,1-4,,Normal,
PDSCH/PDCCH TCI state,,1-4,,TCI.State.0,
CSI-RS for tracking,,1-4,,TRS.2.1 TDD,
SSB Configuration,,1-2,,SSB.1 FR2,
,,3-4,,SSB.2 FR2,
SMTC Configuration,,1-4,,SMTC.3,
PRACH Configuration,,1-4,,FR2 PRACH configuration 2,A.3.8.3.2
DRX configuration,,1-4,,DRX.3,A.3.3.3
SSB index assigned as BFD RS (q0),,1-4,,"0,1",
SSB index assigned as CBD RS (q1),,1-4,,2,
SSB index assigned as RLM RS,,1-4,,"0,2",
Beam failure detection transmission parameters,DCI format,1-4,,1-0,
,Number of Control OFDM symbols,1-4,,2,
,Aggregation level,1-4,CCE,8,
,Ratio of hypothetical PDCCH RE energy to average SSS RE energy,1-4,dB,0,
,Ratio of hypothetical PDCCH DMRS energy to average SSS RE energy,1-4,dB,0,
,DMRS precoder granularity,1-4,,REG bundle size,
,REG bundle size,1-4,,6,
Gap pattern ID,,1-4,,N/A,
rlmInSyncOutOfSyncThreshold,,1-4,,absent,Value 0 is applied. (Table 8.1.1-1).
rsrp-ThresholdSSB,,1-2,dBm/SCS,-95,Threshold used for Qin_LR_SSB
,,3-4,,-92,
powerControlOffsetSS,,1-4,,db0,Used for deriving rsrp-ThresholdCSI-RS
beamFailureInstanceMaxCount,,1-4,,n1,"See TS 38.321 [7], clause 5.17"
beamFailureDetectionTimer,,1-4,,pbfd4,"See TS 38.321 [7], clause 5.17"
CSI-RS configuration for CSI reporting,,1-4,,CSI-RS.3.1 TDD,
reportConfigType,,1-4,,periodic,
reportQuantity,,1-4,,cri-RI-PMI-CQI,
CSI reporting periodicity,,1-4,slot,40,
CSI reporting offset,,1-4,slot,4,
T310,,1-4,ms,1000,
N310,,1-4,,1,
T1,,1-4,s,1,The UE shall be fully synchronized to Cell 1 during T1
T2,,1-4,s,3.37,
T3,,1-4,s,5.56,
T4,,1-4,s,0,
T5,,1-4,s,0.61,
D1,,1-4,s,0.57,
NOTE 1:UE-specific PDCCH is not transmitted after T1 starts.,,,,,
