,Field,SRSConf.1
SRS-ResourceSet,srs-ResourceSetId,0
,srs-ResourceIdList,0
,resourceType,Periodic
,Usage,Codebook
SRS-Resource,SRS-ResourceId,0
,nrofSRS-Ports,Port1
,transmissionComb,n2
,combOffset-n2,0
,cyclicShift-n2,0
,resourceMappingstartPosition,0
,resourceMappingnrofSymbols,n1
,resourceMappingrepetitionFactor,n1
,freqDomainPosition,0
,freqDomainShift,0
,freqHoppingc-SRS,12
,freqHoppingb-SRS,0
,freqHoppingb-hop,0
,groupOrSequenceHopping,Neither
,resourceType,Periodic
,periodicityAndOffset-p,"sl160,25"
,sequenceId,0
