Parameter,Unit,Test1,
,,T1,T2
Duplex mode,,TDD,
TDD configuration,,TDDConf.3.1,
BWchannel,MHz,"100: NPRB,c = 66",
BWP BW,MHz,"100: NPRB,c = 66",
DRX Cycle,ms,Not Applicable,
PDSCH Reference measurement channel,,SR.3.1 TDD,
RMSI CORESET Reference Channel,,CR.3.1 TDD,
Dedicated CORESET Reference Channel,,CCR.3.1 TDD,
TRS configuration,,TRS.2.1 TDD,
PDSCH/PDCCH TCI state,,TCI.State.2,
OCNG Patterns,,OCNG pattern 1,
SMTC configuration,,SMTC.1,
SSB configuration,,SSB.3 FR2,
PDSCH/PDCCH subcarrier spacing,kHz,120 kHz,
PUCCH/PUSCH subcarrier spacing,kHz,120 kHz,
EPRE ratio of PSS to SSS,dB,0,
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,
Propagation condition,-,AWGN,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,
