,Field,SRSConf.1,SRSConf.2
SRS-,srs-ResourceSetId,0,0
ResourceSet,srs-ResourceIdList,0,0
,resourceType,Periodic,Periodic
,Usage,Codebook,Codebook
SRS-,SRS-ResourceId,0,0
Resource,nrofSRS-Ports,Port1,Port1
,transmissionComb,n2,n2
,combOffset-n2,0,0
,cyclicShift-n2,0,0
,resourceMappingstartPosition,0,0
,resourceMappingnrofSymbols,n1,n1
,resourceMappingrepetitionFactor,n1,n1
,freqDomainPosition,0,0
,freqDomainShift,0,0
,freqHoppingc-SRS,12,12
,freqHoppingb-SRS,0,0
,freqHoppingb-hop,0,0
,groupOrSequenceHopping,Neither,Neither
,resourceType,Periodic,Periodic
,periodicityAndOffset-p,"sl20, 9","sl40, 19"
,sequenceId,0,0
