Parameter,Unit,Config,Cell 2,,Cell 3,
,,,T1,T2,T1,T2
TDD configuration,,1~4,TDDConf.3.1,,TDDConf.3.1,
BWchannel,MHz,1~4,"100: NPRB,c = 66",,"100: NPRB,c = 66",
Data PRBs allocated,,"1,2",24,,24,
,,"3,4",48,,48,
Intial BWP configuration,,1~4,DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Active DL BWP configuration,,1~4,DLBWP.1.1,,DLBWP.1.1,
Active UL BWP configuration,,1~4,ULBWP.1.1,,ULBWP.1.1,
RLM-RS,,1~4,SSB,,SSB,
PDSCH RMC configuration,,"1,2",SR.3.2 TDD,,N/A,
,,"3,4",SR.3.3 TDD,,,
RMSI CORESET RMC configuration,,"1,2",CR.3.1 TDD,,N/A,
,,"3,4",CR.3.2 TDD,,N/A,
Dedicated CORESET RMC configuration,,"1,2",CCR.3.1 TDD,,N/A,
,,"3,4",CCR.3.7 TDD,,N/A,
PDSCH/PDCCH subcarrier spacing,kHz,1~4,120,,120,
OCNG Patterns,,1~4,OP.5,,N/A,
TRS configuration,,1~4,TRS.2.1 TDD,,N/A,
PDSCH/PDCCH TCI state,,1~4,TCI.State.2,,N/A,
cellIndividualOffset,dB,1~4,N/A,,16,
SSB configuration,,"1, 2",SSB.3 FR2,,SSB.7 FR2,
,,"3, 4",SSB.4 FR2,,SSB.8 FR2,
Propagation Condition,,1~4,No external noise (Note 1),,No external noise (Note 1),
"NOTE 1:The downlink connection between the System Simulator and the UE is without Additive White Gaussian Noise, and has no fading or multipath effects as specified in TS 38.521-2 B.0 [40].",,,,,,
