Parameter,Unit,Value,Comment
LTE RF Channel Number,,1,Cell 1 use LTE RF channel 1
NR RF Channel Number,,"2,3","Cell2 and Cell 3 use NR RF channel 2 and 3, respectively."
Active PCell,,Cell 1,Primary cell on LTE RF channel number 1.
Configured deactivated SCell,,Cell 3,Configured deactivated secondary cell on NR RF channel number 3
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
Cell-individual offset for cells on NR channel number,dB,0,Individual offset for cells on primary component carrier.
SCell measurement cycle (measCycleSCell),ms,160,
Cell2 timing offset to Cell 1,s,0,
Time alignment error between Cell 2 and Cell 1,s,Time alignment error as specified in TS 38.104 [13] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
T1,s,16,During this time SCell is configured and detected.
T2,s,1,During this time the UE shall activate the SCell.
T3,s,1,During this time the UE shall deactivate the SCell.
Hysteresis,dB,0,
a2-Threshold,dBm,-100,
THARQ,ms,k1NR slot length×,"k1 is a number of slots and is indicated by the PDSCH-to-HARQ-timing-indicator field in the DCI format, if present, or provided by dl-DataToUL-ACK, the value of k should be the minimum value defined in TS 38.213 [3] depends on UE’s capability"
TCSI_Reporting,ms,15,"the delay (in ms) including uncertainty in acquiring the first available downlink CSI reference resource, UE processing time for CSI reporting (clause 5.2.2.5 in TS 38.214) and uncertainty in acquiring the first available CSI reporting resources as specified in TS 38.331 [2]"
