Parameter,Unit,Config,Cell 2,,Cell 3,,
,,,T1,T2,T1,T2,
AoA setup,,"1,2",Setup 3 defined in A.3.15.3,,,,
,,,AoA1,,AoA2,,
Assumption for UE beamsNote 4,,"1,2",Rough,,Rough,,
for SSB,dB,"1,2",4,-4.64,-Infinity,2.54,
for CSI-RS,dB,"1,2",4,-4.64,-Infinity,2.54,
Note 2,dBm/15 KHz,"1,2",-102,,,,
Note 2,dBm/SCS,"1,2",-93,,,,
SS-RSRP,dBm/SCS,"1,2",-89,-89,-Infinity,-85,
CSI-RSRP,dBm/SCS,"1,2",-89,-89,-Infinity,-85,
for SSB,dB,"1,2",4,4,-Infinity,8,
for CSI-RS,dB,"1,2",4,4,-Infinity,8,
,dBm/95.04 MHz,"1,2",-58.56,-54.09,-58.56,-54.09,
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation.",,,,,,,
