Parameter,,Unit,Value,Comment
RF Channel Number,,,"1, 2",Two radio channels are used for this test. One for NR cell and second for E-UTRAN Cell
Initial,Active PCell,,Cell1,PCell on RF channel number 1.
,Active PSCell,,Cell2,PSCell cell on RF channel number 2.
,Neighbour PCell,,Cell3,Neighbor PCell on RF channel number 1.
,Neighbour PSCell,,Cell4,Neighbor PSCell on RF channel number 2.
Final,Active PCell,,Cell3,PCell on RF channel number 1.
Condition,Active PSCell,,Cell4,PSCell on RF channel number 2.
A3 for PCC frequency layer,A3-Offset,dB,0,
,Hysteresis,dB,0,Hysteresis for evaluation of event A3.
,Time To Trigger,s,0,Time to Trigger of event A3
A3 for PSCC frequency layer,A3-Offset,dB,0,Hysteresis for evaluation of event A3.
,Hysteresis,dB,0,Actual RSRP threshold for event A3.
,Time to Trigger,S,0,Time to Trigger of event A3
DRX,,,OFF,Continuous monitoring of primary cell
Cell-individual offset for cells on RF channel number 1,,dB,0,Individual offset for cells on primary component carrier.
Cell-individual offset for cells on RF channel number 2,,dB,0,Individual offset for cells on carrier frequency of cell2.
T1,,s,1,During this time the PCell shall be known and cell2 shall be unknown.
T2,,s,5,"During this time the UE shall identify neighbour cell (cell3 and cell 4) and report event A3 and B1, and RRC message implying handover with PSCell at the end of this duration"
T3,,s,1,During this time the UE finishes PCell handover and PSCell change.
