Parameter,Unit,Config,Cell 2,,Cell 3,
,,,T1,T2,T1,T2
AoA setup,,1~4,Setup 1 defined in A.3.15.1,,,
Assumption for UE beamsNote 4,,1~4,Rough,,Rough,
BB Note 5,dB,1~4,4,-1.46,-Infinity,-1.46
Note 2,dBm/15 KHz,1~4,-98,,,
Note 2,dBm/SCS,"1, 2",-89,,,
,,"3, 4",-86,,,
SSB_RP,dBm/SCS,"1, 2",-85,-85,-Infinity,-85
,,"3, 4",-82,-82,-Infinity,-82
,dB,1~4,4,4,-Infinity,4
,dBm/95.04 MHz,1~4,-54.53,-52.18,See Cell 2 columns,
"NOTE 1:The resources for uplink transmission are assigned to the UE prior to the start of time period T2.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:Es/Iot, SSB_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation.NOTE 5:Calculation of Es/IotBB includes the effect of UE internal noise up to the value assumed for the associated Refsens requirement in clause 7.3.2 of TS 38.101-2 [19], and an allowance of 1 dB for UE multi-band relaxation factor ΔMBP from TS 38.101-2 [19] Table 6.2.1.3-4.",,,,,,
