Parameter,Unit,Config,Cell 2,,Cell 3,
,,,T1,T2,T1,T2
TDD configuration,,"1,2",TDDConf.3.1,,TDDConf.3.1,
BWchannel,MHz,"1,2","100: NPRB,c = 66",,"100: NPRB,c = 66",
Intial BWP configuration,,"1,2",DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Active DL BWP configuration,,"1,2",DLBWP.1.1,,DLBWP.1.1,
Active UL BWP configuration,,"1,2",ULBWP.1.1,,ULBWP.1.1,
RLM-RS,,"1,2",SSB,,SSB,
PDSCH RMC configuration,,"1,2",SR.3.1 TDD,,N/A,
RMSI CORESET RMC configuration,,"1,2",CR.3.1 TDD,,CR.3.1 TDD,
Dedicated CORESET RMC configuration,,"1,2",CCR.3.1 TDD,,CCR.3.1 TDD,
OCNG Patterns,,"1,2",OP.1,,OP.1,
TRS configuration,,"1,2",TRS.2.1 TDD,,N/A,
PDSCH/PDCCH TCI state,,"1,2",TCI.State.2,,N/A,
SMTC configuration,,"1, 2",SMTC.1,,SMTC.1,
SSB configuration,,"1,2",SSB.3 FR2,,SSB.7 FR2,
CSI-RS RRM configuration,,"1,2",CSI-RS.RRM.FR2.1 TDD,,CSI-RS.RRM.FR2.1 TDD exceptAssociated SSB index = 1;slotConfig = ms20 (slot 2),
Propagation Condition,,"1,2",AWGN,,,
