Parameter,Config,Unit,Test 1,Test 2
SSB ARFCN,1~4,,freq1,freq1
Duplex mode,1~4,,TDD,TDD
TDD Configuration,1~4,,TDDConf.3.1,TDDConf.3.1
BWchannel,1~4,MHz,"100: NPRB,c = 66","100: NPRB,c = 66"
Data PRBs allocated,1~4,,66,66
PDSCH Reference measurement channel,1.2,,SR.3.2 TDD,SR.3.2 TDD
,"3,4",,SR.3.3 TDD,SR.3.3 TDD
RMSI CORESET Reference Channel,"1,2",,CR.3.1 TDD,CR.3.1 TDD
,"3,4",,CR.3.2 TDD,CR.3.2 TDD
Dedicated CORESET Reference Channel,"1,2",,CCR.3.1 TDD,CCR.3.1 TDD
,"3,4",,CCR.3.7 TDD,CCR.3.7 TDD
SSB configuration,"1,2",,SSB.1 FR2,SSB.1 FR2
,"3,4",,SSB.2 FR2,SSB.2 FR2
OCNG Patterns,1~4,,OP.1,OP.1
Initial BWP Configuration,1~4,,DLBWP.0.1ULBWP.0.1,DLBWP.0.1ULBWP.0.1
Dedicated BWP configuration,1~4,,DLBWP.1.3ULBWP.1.3,DLBWP.1.3ULBWP.1.3
TRS Configuration,1~4,,TRS.2.1 TDD,TRS.2.1 TDD
PDCCH/PDSCH TCI Configuration,1~4,,TCI.State.2,TCI.State.2
SMTC configuration,1~4,,SMTC.1,SMTC.1
reportConfigType,1~4,,periodic,periodic
reportQuantity,1~4,,ssb-Index-RSRP,ssb-Index-RSRP
Number of reported RS,1~4,,2,2
L1-RSRP reporting period,1~4,,slot320,slot320
Propagation condition,1~4,,AWGN,AWGN
Antenna configuration,,,1x2,1x2
EPRE ratio of PSS to SSS,1~4,dB,0,0
EPRE ratio of PBCH DMRS to SSS,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.,,,,
