Parameter,Unit,Cell 2,Cell 3
Frequency Range,,FR2,FR2
Duplex mode,,TDD,TDD
TDD configuration,,TDDConf.3.1,TDDConf.3.1
BWchannel,,"100 MHz: NPRB,c = 66","100 MHz: NPRB,c = 66"
Active BWP ID,,"1, 2","1, 2"
Initial DL BWP Configuration,,DLBWP.0.2 Note 2,DLBWP.0.2 Note 2
Active DL BWP-1 Configuration,,DLBWP.1.1 Note 2,DLBWP.1.1 Note 2
Active DL BWP-2 Configuration,,DLBWP.1.3 Note 2,DLBWP.1.3 Note 2
Initial UL BWP Configuration,,ULBWP.0.2 Note 2,ULBWP.0.2 Note 2
Active UL BWP-1 Configuration,,ULBWP.1.1 Note 2,ULBWP.1.1 Note 2
Active UL BWP-2 Configuration,,ULBWP.1.3 Note 2,ULBWP.1.3 Note 2
PDSCH Reference measurement channel,,SR.3.1 TDD,SR.3.1 TDD
RMSI CORESET parameters,,CR.3.1 TDD,CR.3.1 TDD
Dedicated CORESET parameters,,CCR.3.1 TDD,CCR.3.1 TDD
OCNG Patterns,,OP.1,OP.1
SSB Configuration,,SSB.1 FR2,SSB.1 FR2
SMTC Configuration,,SMTC.1,SMTC.1
TCI State,,TCI.State.0,TCI.State.0
TRS Configuration,,TRS.2.1 TDD,TRS.2.1 TDD
Correlation Matrix and Antenna Configuration,,1x2 Low,1x2 Low
EPRE ratio of PSS to SSS,dB,0,0
EPRE ratio of PBCH DMRS to SSS,,,
EPRE ratio of PBCH to PBCH DMRS,,,
EPRE ratio of PDCCH DMRS to SSS,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,
EPRE ratio of PDSCH DMRS to SSS,,,
EPRE ratio of PDSCH to PDSCH,,,
EPRE ratio of OCNG DMRS to SSS(Note 1),,,
EPRE ratio of OCNG to OCNG DMRS (Note 1),,,
Propagation Condition,,AWGN,AWGN
"NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:For unpaired spectrum, a DL BWP is linked with an UL BWP. DLBWP.0.2 is linked with ULBWP.0.2; DLBWP.1.1 is linked with ULBWP.1.1; DLBWP.1.3 is linked with ULBWP.1.3 defined in clause 12 of TS 38.213 [3].",,,
