Parameter,Unit,Config,Cell 2,,Cell 3,
,,,T1,T2,T1,T2
TDD configuration,,1~4,TDDConf.3.1,,TDDConf.3.1,
BWchannel,MHz,1~4,"100: NPRB,c = 66",,"100: NPRB,c = 66",
Data PRBs allocated,,1~4,66,,66,
Intial BWP configuration,,1~4,DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,
Active DL BWP configuration,,1~4,DLBWP.1.1,,DLBWP.1.1,
Active UL BWP configuration,,1~4,ULBWP.1.1,,ULBWP.1.1,
RLM-RS,,1~4,SSB,,SSB,
PDSCH RMC configuration,,"1,2",SR.3. 2 TDD,,N/A,
,,"3,4",SR.3.3 TDD,,,
RMSI CORESET RMC configuration,,"1,2",CR.3.1 TDD,,N/A,
,,"3,4",CR.3.2 TDD,,N/A,
Dedicated CORESET RMC configuration,,"1,2",CCR.3.1 TDD,,N/A,
,,"3,4",CCR.3.7 TDD,,N/A,
PDSCH/PDCCH subcarrier spacing,kHz,1~4,120,,120,
OCNG Patterns,,1~4,OP.1,,OP.1,
PDSCH/PDCCH TCI state,,1~4,TCI.State.2,,N/A,
CSI-RS for tracking,,,TRS.2.1 TDD,,N/A,
,,,TRS.2.1 TDD,,N/A,
SSB configuration,,"1, 2",SSB.3 FR2,,SSB.3 FR2,
,,"3, 4",SSB.4 FR2,,SSB.4 FR2,
Propagation Condition,,1~4,AWGN,,AWGN,
