Parameter,Unit,Test configuration,Value,Comment
Active cell,,1,E-UTRAN Cell 1 and NR Cell 2,
RF Channel Number,,1,1: Cell 12: Cell 2,
SSB configuration,,1,SSB.1 FR2,
SMTC configuration,,1,SMTC.1,
SRS configuration,,1,SRSConf.1,Table A.5.6.4.1.2-4
CP length,,1,Normal,
i1-Threshold,dBm,1,-103,
Hysteresis,dB,1,0,
Time To Trigger,s,1,0,
Filter coefficient,,1,0,L3 filtering is not used
DRX,ms,1,DRX.11,
Time offset between DL from serving cell and SRS from test system,s,"1,2",10.67,
T1,s,1,5,
T2,s,1,1,
