Parameter,Unit,E-UTRAN Cell,,,,,
,,T1,T2,T3,T4,T5,T6
Duplex mode,,FDD or TDD,,,,,
TDD special subframe configurationNote1,,6,,,,,
TDD uplink-downlink configurationNote1,,1,,,,,
BWchannel,,"5 MHz: NPRB,c = 2510 MHz: NPRB,c = 5020 MHz: NPRB,c = 100",,,,,
PDSCH parameters:DL Reference Measurement ChannelNote2,,5 MHz: R.7 FDD10 MHz: R.3 FDD20 MHz: R.6 FDD5 MHz: R.4 TDD10 MHz: R.0 TDD20 MHz: R.3 TDD,,,,,
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement ChannelNote2,,5 MHz: R.11 FDD10 MHz: R.6 FDD20 MHz: R.10 FDD5 MHz: R.11 TDD10 MHz: R.6 TDD20 MHz: R.10 TDD,,,,,
OCNG PatternsNote2,,5 MHz: OP.20 FDD10 MHz: OP.10 FDD20 MHz: OP.17 FDD5 MHz: OP.9 TDD10 MHz: OP.1 TDD20 MHz: OP.7 TDD,,,,,
PBCH_RA,dB,,,,,,
PBCH_RB,dB,,,,,,
PSS_RA,dB,,,,,,
SSS_RA,dB,,,,,,
PCFICH_RB,dB,,,,,,
PHICH_RA,dB,,,,,,
PHICH_RB,dB,0,,,,,
PDCCH_RA,dB,,,,,,
PDCCH_RB,dB,,,,,,
PDSCH_RA,dB,,,,,,
PDSCH_RB,dB,,,,,,
OCNG_RANote3,dB,,,,,,
OCNG_RBNote3,dB,,,,,,
NocNote4,dBm/15 kHz,N/A,-104,,,,
Ês/Noc,dB,-infinite,17,,,,
Ês/Iot,dB,-infinite,17,,,,
RSRP Note5,dBm/15 kHz,-infinite,-87,,,,
SCH_RP Note5,dBm/15 kHz,-infinite,-87,,,,
Io Note5,dBm/Ch BW,N/A,"-59.13+10log(NPRB,c /50)",,,,
Propagation Condition,,AWGN,,,,,
Antenna Configuration,,1x2,,,,,
"NOTE 1:Special subframe and uplink-downlink configurations are specified in table 4.2-1 in TS 36.211 [23].NOTE 2:DL RMCs and OCNG patterns are specified in clauses A 3.1 and A 3.2 of TS 36.133 [15] respectively.NOTE 3:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 4:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for Noc to be fulfilled.NOTE 5:Es/Iot, RSRP, SCH_RP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,,,,,
