Parameter,Config,Unit,Test 1,,Test 2,,
,,,Cell 2,Cell 3,Cell 2,Cell 3,
SSB ARFCN,1~4,,freq1,freq2,freq1,freq2,
BWchannel,1~4,,"100:NPRB,c = 66",,"100:NPRB,c = 66",,
Data PRBs allocated,"1,2",,24,,24,,
,"3,4",,48,,48,,
Duplex mode,1~4,,TDD,,TDD,,
TDD configuration,1~4,,TDDConf.3.1,,TDDConf.3.1,,
PDSCH Reference measurement channel,"1,2",,SR.3. 2 TDD,-,SR.3. 2 TDD,-,
,"3,4",,SR.3.3 TDD,,SR.3.3 TDD,,
RMSI CORESET Reference Channel,"1,2",,CR.3.1 TDD,-,CR.3.1 TDD,-,
,"3,4",,CR.3.2 TDD,,CR.3.2 TDD,,
Dedicated CORESET Reference Channel,"1,2",,CCR.3.1 TDD,-,CCR.3.1 TDD,-,
,"3,4",,CCR.3.7 TDD,,CCR.3.7 TDD,,
SSB configuration,"1,2",,SSB.3 FR2,,SSB.3 FR2,,
,"3,4",,SSB.4 FR2,,SSB.4 FR2,,
PDSCH/PDCCH subcarrier spacing,1~4,kHz,120,,120,,
OCNG Patterns,1~4,,OP.3,,OP.3,,
Initial BWP Configuration,1~4,,DLBWP.0.1ULBWP.0.1,,DLBWP.0.1ULBWP.0.1,,
Dedicated BWP configuration,1~4,,DLBWP.1.3ULBWP.1.3,,DLBWP.1.3ULBWP.1.3,,
TRS Configuration,1~4,,TRS.2.1 TDD,,TRS.2.1 TDD,,
PDCCH/PDSCH TCI Configuration,1~4,,TCI.State.2,,TCI.State.2,,
SMTC configuration,1~4,,SMTC.1,,SMTC.1,,
Time offset between Cell 2 and Cell 3,1~4,s,3,,3,,
EPRE ratio of PSS to SSS,1~4,dB,0,0,0,0,
EPRE ratio of PBCH DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,,,,,,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,,
Propagation condition,1~4,-,AWGN,AWGN,AWGN,AWGN,
Antenna configuration,1~4,-,1x2,1x2,1x2,1x2,
NOTE 1:OCNG shall be used such that a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Void,,,,,,,
