Parameter,Unit,Cell 2,Cell 3
Angle of arrival configuration,,Setup 1 according to table A.3.15,Setup 1 according to table A.3.15
Assumption for UE beamsNote 5,,Fine,Fine
Note1,dBm/15 kHz,-112,-112
,,,
,,,
,,,
,,,
,,,
Note1,dBm/SCS,-103,-103
,,,
,,,
,,,
,,,
,,,
SS-RSRPNote2,dBm/SCS Note3,-85,-85
,,,
,,,
,,,
,,,
,,,
,dB,18,18
IoNote2,dBm/95.04 MHz,-56,-56
,Note4,,
,,,
,,,
,,,
,,,
"NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 4: Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 5: Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementation",,,
