Parameter,,Unit,Cell 2,,,,
,,,T1,,T2,,T3
SSB ARFCN,,,Freq1,,,,
Duplex mode,"Config 1,4",,FDD,,,,
,"Config 2,3,5,6",,TDD,,,,
TDD configuration,"Config 1,4",,Not Applicable,,,,
,"Config 2,5",,TDDConf.1.1,,,,
,"Config 3,6",,TDDConf.2.1,,,,
Downlink initial BWP Configuration,"Config 1,2,3,4,5,6",,DLBWP.0.1,,,,
Downlink dedicated BWP Configuration,"Config 1,2,3,4,5,6",,DLBWP.1.1,,,,
Uplink initial BWP configuration,"Config 1,2,3,4,5,6",,ULBWP.0.1,,,,
Uplink dedicated BWP configuration,"Config 1,2,3,4,5,6",,ULBWP.1.1,,,,
TRS configuration,"Config 1,2,3,4,5,6",,N/A,,,,
TCI state,"Config 1,2,3,4,5,6",,TCI.State.0,,,,
BWchannel,"Config 1,2,4,5",MHz,"10: NPRB,c = 52",,,,
,"Config 3,6",,"40: NPRB,c = 106",,,,
Data PRBs allocated,"Config 1,2,4,5",,52,52,,52,
,"Config 3,6",,106,106,,106,
PDSCH Reference measurement channel,"Config 1,4",,SR.1.1 FDD,,,,
,"Config 2,5",,SR.1.1 TDD,,,,
,"Config 3,6",,SR.2.1 TDD,,,,
RMSI CORESET Parameters,"Config 1,4",,CR.1.1 FDD,,,,
,"Config 2,5",,CR.1.1 TDD,,,,
,"Config 3,6",,CR.2.1 TDD,,,,
Dedicated CORESET Parameters,"Config 1,4",,CCR.1.1 FDD,,,,
,"Config 2,5",,CCR.1.1 TDD,,,,
,"Config 3,6",,CCR.2.1 TDD,,,,
OCNG Patterns,"Config 1,2,3,4,5,6",,OP.1,,,,
SSB configuration,"Config 1,2,4,5",,SSB.1 FR1,,,,
,"Config 3,6",,SSB.2 FR1,,,,
SMTC configuration,,,SMTC.1,,,,
EPRE ratio of PSS to SSS,,dB,0,,,,
EPRE ratio of PBCH_DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,,
Propagation conditions,,,"N/ALink only, see clause A.3.7A",,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.,,,,,,,
