ParameterNote 5,Unit,Cell 2,,,Cell 3,,
,,T1,T2,T3,T1,T2,T3
SSB ARFCN,,freq1,,,freq2,,
Duplex mode,,TDD,,,TDD,,
TDD configuration,,TDDConf.3.1,,,TDDConf.3.1,,
BWchannel,MHz,"100: NPRB,c = 66",,,"100: NPRB,c = 66",,
PDSCH Reference measurement channel,,SR.3.1 TDD,,,SR.3.1 TDD,,
RMSI CORESET Reference Channel,,CR.3.1 TDD,,,CR.3.1 TDD,,
RMC CORESET Reference Channel,,CCR.3.1 TDD,,,CCR.3.1 TDD,,
DL initial BWP configuration,,DLBWP.0.1,,,,,
DL dedicated BWP configuration,,DLBWP.1.1,,,,,
UL initial BWP configuration,,ULBWP.0.1,,,,,
UL dedicated BWP configuration,,ULBWP.1.1,,,,,
OCNG Patterns,,OP.1,,,,,
SMTC configuration,,SMTC.1,,,,,
SSB configuration,,SSB.1 FR2,,,,,
TCI state,,TCI.State.0,,,,,
TRS configuration,,TRS.2.1 TDD,,,,,
CSI-RS configuration for CSI reporting,,CSI-RS.3.1 TDD,,,,,
reportConfigType,,periodic,,,N/A,,
reportQuantity,,cri-RI-PMI-CQI,,,N/A,,
CSI reporting periodicity,slot,40,,,N/A,,
CSI reporting offset,slot,4,,,N/A,,
PDSCH/PDCCH subcarrier spacing,kHz,120,,,,,
EPRE ratio of PSS to SSS,dB,0,,,,,
EPRE ratio of PBCH_DMRS to SSS,,,,,,,
EPRE ratio of PBCH to PBCH_DMRS,,,,,,,
EPRE ratio of PDCCH_DMRS to SSS,,,,,,,
EPRE ratio of PDCCH to PDCCH_DMRS,,,,,,,
EPRE ratio of PDSCH_DMRS to SSS,,,,,,,
EPRE ratio of PDSCH to PDSCH_DMRS,,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,,
Propagation conditions,,AWGN,,,,,
NOTE 1:OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 3:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 4:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 5:All parameters apply for configuration 1 and 2.,,,,,,,
