Parameter,Unit,Test 1,
,,T1,T2
Angle of arrival configuration,,Setup 1 according to clause A.3.15.1 Note 7,
Assumption for UE beamsNote 6,,Fine,
Note1,dBm/15 kHzNote4,-112,
Note1,dBm/SCSNote3,-103,
,dB,4,
SS-RSRPNote2,dBm/SCS Note4,-99,
,dB,4,
IoNote2,dBm/95.04 MHz Note4,-68.5,
"NOTE 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.NOTE 2:SS-RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.NOTE 3:SS-RSRP minimum requirements are specified assuming independent interference and noise at each receiver antenna port.NOTE 4:Equivalent power received by an antenna with 0 dBi gain at the centre of the quiet zoneNOTE 5:As observed with 0 dBi gain antenna at the centre of the quiet zoneNOTE 6:Information about types of UE beam is given in B.2.1.3, and does not limit UE implementation or test system implementationNOTE 7:AoA1 for TRP1 and AoA2 for TRP2",,,
