Parameter,Unit,Config,Value,Comment
Active cell,,"1,2",E-UTRAN PCell (Cell 1)PSCell (Cell 2),
Neighbour cell,,"1,2",Cell 3,Cell to be identified.
RF Channel Number,,"1,2",1: Cell 12: Cell 2 and Cell 3,One TDD carrier frequency is used for the NR cells and one TDD or FDD carrier frequency is used for E-UTRAN cell.
SMTC configuration,,"1,2",SMTC.1,
A3-Offset,dB,"1,2",-6,
CP length,,"1,2",Normal,
Hysteresis,dB,"1,2",0,
Time To Trigger,s,"1,2",0,
Filter coefficient,,"1,2",0,L3 filtering is not used
DRX,,"1,2",OFF,
Time offset between Cell 1 and Cell 2,s,"1,2",3,Synchronous EN-DC
Time offset between Cell 2 and Cell 3,s,"1,2",0.58,The timing of Cell 3 is CP later than the timing of Cell 2.
T1,s,"1,2",5,
T2,s,"1,2",5,
