Parameter,Unit,Value,Comment
RF Channel Number,,"1, 2, 3",Two radio channels are used for this test. One for E-UTRA cell and two for NR Cell
Active PCell,,Cell 1,PCell on RF channel number 1. As specified in clause A.3.7.2.2
Active PSCell,,Cell2,PSCell on RF channel number 2.
Deconfigured deactivated SCell,,Cell3,Deconfigured deactivated secondary cell on RF channel number 3
DRX,,OFF,Continuous monitoring of PCell/PSCell
PRACH configuration on Cell 2,,FR2 configuration 2,Captured in A.3.8.3.2
PSCell CQI/PMI periodicity and offset configuration index,,slot5,CQI reporting for PSCell every uplink slot
Cell-individual offset for cells on RF channel number 1,dB,0,Individual offset for cells on carrier frequency of Cell 1.
Cell-individual offset for cells on RF channel number 2,dB,0,Individual offset for cells on carrier frequency of Cell 2.
Cell-individual offset for cells on RF channel number 3,dB,0,Individual offset for cells on carrier frequency of Cell 3.
T1,s,7,"During this time the PCell/PSCell shall be known and Cell 3 is detected, and UE shall report a valid CQI for PCell/PSCell."
T2,s,Ndirect,During this time the UE shall be configured with directly activated SCell 1.
T3,s,1,During this time the UE shall report a valid CQI for PCell/PSCell and SCell.
