Parameter,,Config,Unit,Test 1,,,Test 2,,,
,,,,Cell 2,,Cell 3,Cell 2,,Cell 3,
SSB ARFCN,,1~6,,freq1,,freq2,freq1,,freq2,
BWchannel,,"1,4",MHz,"10: NPRB,c = 52",,,"10: NPRB,c = 52",,,
,,"2,5",,"10: NPRB,c = 52",,,"10: NPRB,c = 52",,,
,,"3,6",,"40: NPRB,c = 106",,,"40: NPRB,c = 106",,,
Gap pattern ID,,,,0,,,0,,,
Duplex mode,,"1,4",,FDD,,,FDD,,,
,,"2,5",,TDD,,,TDD,,,
,,"3,6",,TDD,,,TDD,,,
TDD configuration,,"1,4",,N/A,,,N/A,,,
,,"2,5",,TDDConf.1.1,,,TDDConf.1.1,,,
,,"3,6",,TDDConf.2.1,,,TDDConf.2.1,,,
PDSCH Reference measurement channel,,"1,4",,SR.1.1 FDD,,-,SR.1.1 FDD,,-,
,,"2,5",,SR.1.1 TDD,,,SR.1.1 TDD,,,
,,"3,6",,SR.2.1 FDD,,,SR.2.1 FDD,,,
RMSI CORESET Reference Channel,,"1,4",,CR.1.1 FDD,,-,CR.1.1 FDD,,-,
,,"2,5",,CR.1.1 TDD,,-,CR.1.1 TDD,,-,
,,"3,6",,CR.2.1 FDD,,-,CR.2.1 FDD,,-,
Dedicated CORESET Reference Channel,,"1,4",,CCR.1.1 FDD,,-,CCR.1.1 FDD,,-,
,,"2,5",,CCR.1.1 TDD,,-,CCR.1.1 TDD,,-,
,,"3,6",,CCR.2.1 TDD,,-,CCR.2.1 TDD,,-,
SSB configuration,,"1,4",,SSB.1 FR1,,,SSB.1 FR1,,,
,,"2,5",,SSB.1 FR1,,,SSB.1 FR1,,,
,,"3,6",,SSB.2 FR1,,,SSB.2 FR1,,,
CSI-RS configuration for RRM,,"1,4",,CSI-RS.RRM.FR1.1 FDD,,,,,,
,,"2,5",,CSI-RS.RRM.FR1.1 TDD,,,,,,
,,"3,6",,CSI-RS.RRM.FR1.2 TDD,,,,,,
OCNG Patterns,,1~6,,OP.1,,,OP.1,,,
TRS configuration,,"1,4",,TRS.1.1 FDD,,-,TRS.1.1 FDD,,,-
,,"2,5",,TRS.1.1 TDD,,,TRS.1.1 TDD,,,
,,"3,6",,TRS.1.2 TDD,,,TRS.1.2 TDD,,,
Initial BWP Configuration,,1~6,,DLBWP.0.1ULBWP.0.1,,,DLBWP.0.1ULBWP.0.1,,,
Dedicated BWP configuration,,1~6,,DLBWP.1.1ULBWP.1.1,,,DLBWP.1.1ULBWP.1.1,,,
Time offset with Cell 2,,"1,2,4,5",s,-,4.7,,-,4.7,,
,,"3,6",s,-,2.35,,-,2.35,,
SMTC configuration,,"1,4",,SMTC.2,,,SMTC.2,,,
,,"2,3,5,6",,SMTC.1,,,SMTC.1,,,
EPRE ratio of PSS to SSS,,,,,,,,,,
EPRE ratio of PBCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PBCH to PBCH DMRS,,,,,,,,,,
EPRE ratio of PDCCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDCCH to PDCCH DMRS,,1~6,dB,0,,0,0,,0,
EPRE ratio of PDSCH DMRS to SSS,,,,,,,,,,
EPRE ratio of PDSCH to PDSCH DMRS,,,,,,,,,,
EPRE ratio of OCNG DMRS to SSSNote 1,,,,,,,,,,
EPRE ratio of OCNG to OCNG DMRS Note 1,,,,,,,,,,
Note2,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 5,",1~6,dBm/15 kHz,-94.65,,,( for Cell 3 +8 dB),,-115,
,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-114.5,
,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-114,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-113.5,
,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-113,
,NF_FDD_FR1_F,,,,,,,,-112.5,
,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-112,
,NR_FDD_FR1_H,,,,,,,,-111.5,
,NR_FDD_FR1_N,,,,,,,,-108.5,
Note2,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 5,","1,2,4,5",dBm/SSB SCS,-94.65,,,( for Cell 3 +8 dB),,-115,
,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-114.5,
,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-114,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-113.5,
,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-113,
,NR_FDD_FR1_F,,,,,,,,-112.5,
,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-112,
,NR_FDD_FR1_H,,,,,,,,-111.5,
,NR_FDD_FR1_N,,,,,,,,-108.5,
,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 5,NR_SDL_FR1_A","3,6",,-91.65,,,( for Cell 3 +8dB),,-112.00,
,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-112.50,
,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-112.00,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-111.50,
,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-111.00,
,NR_FDD_FR1_F,,,,,,,,-110.50,
,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-110.00,
,NR_FDD_FR1_H,,,,,,,,-110.50,
,NR_FDD_FR1_N,,,,,,,,-107.50,
for SSB,,1~6,dB,10,,10,13,,-3,
for CSI-RS,,1~6,dB,10,,10,13,,-3,
CSI-RSRPNote3,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 5","1,2,4,5",dBm/SCS,-84.65,,,(RSRP for Cell 3 +24dB),,-118.00,
,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-117.50,
,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-117.00,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-116.50,
,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-116.00,
,NR_FDD_FR1_F,,,,,,,,-115.50,
,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-115.00,
,NR_FDD_FR1_H,,,,,,,,-114.50,
,NR_FDD_FR1_N,,,,,,,,-111.50,
,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 5,","3,6",,-81.65,,,(RSRP for Cell 3 +24dB),,-115.00,
,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-114.50,
,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-114.00,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-113.50,
,"NR_FDD_FR1_E, NR_TDD_FR1_E",,,,,,,,-113.00,
,NR_FDD_FR1_F,,,,,,,,-112.50,
,"NR_FDD_FR1_G, NR_TDD_FR1_G",,,,,,,,-112.00,
,NR_FDD_FR1_H,,,,,,,,-111.50,
,NR_FDD_FR1_N,,,,,,,,-108.50,
IoNote3,"NR_FDD_FR1_A, NR_TDD_FR1_A NOTE 6,","1,2,4,5",dBm/9.36 MHz,-56.28,,,(Io for Channel 3 +19.45dB),,-85.28,
,"NR_FDD_FR1_B, NR_TDD_FR1_B",,,,,,,,-84.78,
,"NR_FDD_FR1_C, NR_TDD_FR1_C",,,,,,,,-84.28,
,"NR_FDD_FR1_D, NR_TDD_FR1_D",,,,,,,,-83.78,
